DateTime,#Site,SamplingHeight,InstrumentId,co2
2017-06-13 06:00:00,SVB,150,464,406.86300000000006
2017-06-13 07:00:00,SVB,150,464,406.574
2017-06-13 08:00:00,SVB,150,464,406.756
2017-06-13 09:00:00,SVB,150,464,406.444
2017-06-13 10:00:00,SVB,150,464,406.449
2017-06-13 11:00:00,SVB,150,464,406.41900000000004
2017-06-13 12:00:00,SVB,150,464,406.7
2017-06-13 13:00:00,SVB,150,464,406.898
2017-06-13 14:00:00,SVB,150,464,406.86699999999996
2017-06-13 15:00:00,SVB,150,464,407.08099999999996
2017-06-13 16:00:00,SVB,150,464,406.61300000000006
2017-06-13 17:00:00,SVB,150,464,406.31800000000004
2017-06-13 18:00:00,SVB,150,464,406.015
2017-06-13 19:00:00,SVB,150,464,406.244
2017-06-13 20:00:00,SVB,150,464,406.663
2017-06-13 21:00:00,SVB,150,464,406.98
2017-06-13 22:00:00,SVB,150,464,407.48800000000006
2017-06-13 23:00:00,SVB,150,464,408.68800000000005
2017-06-14 00:00:00,SVB,150,464,409.37800000000004
2017-06-14 01:00:00,SVB,150,464,409.13
2017-06-14 02:00:00,SVB,150,464,410.79900000000004
2017-06-14 03:00:00,SVB,150,464,410.023
2017-06-14 04:00:00,SVB,150,464,409.917
2017-06-14 05:00:00,SVB,150,464,409.52099999999996
2017-06-14 06:00:00,SVB,150,464,407.041
2017-06-14 07:00:00,SVB,150,464,406.255
2017-06-14 08:00:00,SVB,150,464,406.647
2017-06-14 09:00:00,SVB,150,464,406.70300000000003
2017-06-14 10:00:00,SVB,150,464,406.68
2017-06-14 11:00:00,SVB,150,464,406.457
2017-06-14 12:00:00,SVB,150,464,405.994
2017-06-14 13:00:00,SVB,150,464,405.82199999999995
2017-06-14 14:00:00,SVB,150,464,405.778
2017-06-14 15:00:00,SVB,150,464,405.02
2017-06-14 16:00:00,SVB,150,464,405.34
2017-06-14 17:00:00,SVB,150,464,405.87699999999995
2017-06-14 18:00:00,SVB,150,464,406.346
2017-06-14 19:00:00,SVB,150,464,406.67400000000004
2017-06-14 20:00:00,SVB,150,464,407.51599999999996
2017-06-14 21:00:00,SVB,150,464,408.421
2017-06-14 22:00:00,SVB,150,464,408.265
2017-06-14 23:00:00,SVB,150,464,407.525
